"Season","Episode","Rating","Votes","TVrating"
"1","1","8.5","879",4.16
"1","2","7.9","627",3.57
"1","3","7.7","580",2.31
"1","4","8.2","580",2.1
"1","5","8","519",2.41
"1","6","8","508",2.06
"1","7","8.3","483",2.26
"1","8","8.4","484",2.46
"1","9","8.5","489",2.09
"1","10","8.1","458",2.08
"1","11","8.1","434",1.81
"1","12","8.6","445",2.13
"1","13","8.9","639",2.03
"2","1","8.6","489",3.47
"2","2","8.1","418",2.41
"2","3","8.4","407",2.59
"2","4","7.9","391",2.64
"2","5","8.6","409",2.71
"2","6","8.1","392",2.37
"2","7","8.5","411",2.22
"2","8","8.5","388",2.64
"2","9","8.9","441",2.79
"2","10","8.4","358",2.5
"2","11","8.7","379",2.5
"2","12","8.8","422",2.92
"2","13","9","563",2.68
"3","1","8.8","560",3.07
"3","2","8.2","382",2.71
"3","3","8.7","382",2.71
"3","4","8.6","359",2.21
"3","5","8.7","374",2.13
"3","6","8.2","324",2.02
"3","7","8.2","320",2.15
"3","8","8.7","342",2.16
"3","9","8.5","318",2.26
"3","10","8.6","333",2.32
"3","11","8.5","310",2.49
"3","12","8.7","333",2.46
"3","13","8.9","488",2.66
"4","1","8.6","455",3.59
"4","2","8.5","326",2.45
"4","3","8.5","340",2.44
"4","4","8.2","294",2.08
"4","5","8.6","293",2.42
"4","6","8.1","311",2.3
"4","7","8.3","312",2.15
"4","8","8.8","336",2.18
"4","9","8.6","280",2.32
"4","10","8.7","295",2.4
"4","11","8.9","440",2.45
"4","12","8.6","274",2.44
"4","13","8.9","438",2.25
"5","1","8.8","417",2.84
"5","2","8.7","259",2.23
"5","3","8.3","198",2.5
"5","4","8.3","194",2.36
"5","5","9","265",2.39
"5","6","8.7","203",2.33
"5","7","8.3","182",2.1
"5","8","8","180",2.32
"5","9","8.7","195",2.24
"5","10","8.6","187",2.04
"5","11","8.9","176",2.05
"5","12","9","206",2.04
"5","13","9","210",2.37
