Season,Wins,Location,AttendanceAvg
2000,0,Home,587
2001,2,Home,946
2002,3,Home,1208
2003,5,Home,1019
2004,1,Home,1640
2005,3,Home,300
2006,5,Home,599
2007,5,Home,1834
2008,2,Home,1076
2009,2,Home,1298
2010,4,Home,1243
2011,3,Home,1096
2012,4,Home,1621
2013,3,Home,1152
2000,0,Away,2050
2001,2,Away,1079
2002,3,Away,1278
2003,5,Away,1479
2004,1,Away,1266
2005,3,Away,1550
2006,5,Away,1159
2007,5,Away,1962
2008,2,Away,2199
2009,2,Away,2091
2010,4,Away,2314
2011,3,Away,1634
2012,4,Away,1277
2013,3,Away,2181
